Date,Time,Open,High,Low,Close,Volume,,,,,,20240101,230100
1/1/2024,11:01 PM,17018.75,17024,17015,17016.25,801,,,,,,20240101,230200
1/1/2024,11:02 PM,17016.25,17018,17013.75,17017,310,,,,,,20240101,230300
1/1/2024,11:03 PM,17016.25,17018.25,17015.5,17016.5,232,,,,,,20240101,230400
1/1/2024,11:04 PM,17016.75,17019,17016.5,17018.5,82,,,,,,20240101,230500
1/1/2024,11:05 PM,17019,17019.25,17015.75,17015.75,80,,,,,,20240101,230600
1/1/2024,11:06 PM,17016.5,17019.5,17016,17018.25,76,,,,,,20240101,230700
1/1/2024,11:07 PM,17018.75,17019,17016.5,17017.5,62,,,,,,20240101,230800
1/1/2024,11:08 PM,17017.25,17022.75,17017.25,17021,196,,,,,,20240101,230900
1/1/2024,11:09 PM,17021.5,17021.75,17019.5,17020.75,86,,,,,,20240101,231000
1/1/2024,11:10 PM,17021.5,17024.75,17020.25,17023.75,157,,,,,,20240101,231100
1/1/2024,11:11 PM,17024,17025.25,17021.75,17025,159,,,,,,20240101,231200
1/1/2024,11:12 PM,17024.25,17027.75,17022.75,17026.25,163,,,,,,20240101,231300
1/1/2024,11:13 PM,17027,17027.5,17023,17024,445,,,,,,20240101,231400
1/1/2024,11:14 PM,17023.75,17024.5,17022.5,17024.25,96,,,,,,20240101,231500
1/1/2024,11:15 PM,17023.75,17026,17023,17025.75,96,,,,,,20240101,231600
1/1/2024,11:16 PM,17025.5,17029.25,17025.5,17029,205,,,,,,20240101,231700
1/1/2024,11:17 PM,17029,17029.5,17026.5,17028.75,124,,,,,,20240101,231800
1/1/2024,11:18 PM,17029.25,17030.5,17028.25,17029.75,162,,,,,,20240101,231900
1/1/2024,11:19 PM,17029.5,17030.5,17028.75,17029,102,,,,,,20240101,232000
1/1/2024,11:20 PM,17029.25,17030,17028.25,17028.75,119,,,,,,20240101,232100
1/1/2024,11:21 PM,17029.5,17029.5,17027,17027.5,107,,,,,,20240101,232200
1/1/2024,11:22 PM,17027,17030.25,17027,17030.25,184,,,,,,20240101,232300
1/1/2024,11:23 PM,17030,17030.5,17029,17030.25,114,,,,,,20240101,232400
1/1/2024,11:24 PM,17030,17032.5,17030,17032,278,,,,,,20240101,232500
1/1/2024,11:25 PM,17032,17032.75,17031,17032,126,,,,,,20240101,232600
1/1/2024,11:26 PM,17032.5,17037,17032.25,17037,387,,,,,,20240101,232700
1/1/2024,11:27 PM,17036.5,17037,17035,17035,501,,,,,,20240101,232800
1/1/2024,11:28 PM,17034.75,17036.5,17034.25,17035,205,,,,,,20240101,232900
1/1/2024,11:29 PM,17034.75,17034.75,17032.5,17033,214,,,,,,20240101,233000
1/1/2024,11:30 PM,17032.75,17034,17032.5,17033.5,173,,,,,,20240101,233100
1/1/2024,11:31 PM,17033.25,17035,17032.5,17033.5,317,,,,,,20240101,233200
1/1/2024,11:32 PM,17033.75,17035.75,17033.25,17034.25,265,,,,,,20240101,233300
1/1/2024,11:33 PM,17034.75,17036,17034.5,17034.75,120,,,,,,20240101,233400
1/1/2024,11:34 PM,17034.5,17035.25,17033.75,17035,153,,,,,,20240101,233500
1/1/2024,11:35 PM,17034.75,17034.75,17031.5,17032.25,182,,,,,,20240101,233600
1/1/2024,11:36 PM,17032.25,17032.5,17030.5,17031,160,,,,,,20240101,233700
1/1/2024,11:37 PM,17030.75,17031.75,17030.75,17031.5,99,,,,,,20240101,233800
1/1/2024,11:38 PM,17031.75,17032.25,17030,17030.75,182,,,,,,20240101,233900
1/1/2024,11:39 PM,17030.75,17032.25,17030,17032,143,,,,,,20240101,234000
1/1/2024,11:40 PM,17032,17033,17031.75,17032.5,267,,,,,,20240101,234100
